player,sleeper_id,pos,team,bye,proj_pts,vorp,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy
Jalen Nailor,8180,WR,LVR,13,81.5,-36.6,5,false,124,268,192.56,152.7,-115.3,blend,,12.0,false,,,,0.295,0.133,1.12,7,true
Ray Davis,11575,RB,BUF,7,84.4,-37.0,6,false,75,269,192.99,163.7,-105.3,blend,,14.0,false,James Cook III,15.666666666666666,,0.055,0.139,0.92,6,true
T.J. Hockenson,5844,TE,MIN,6,91.4,-38.4,2,false,33,270,191.24,167.9,-102.1,blend,,12.3,false,,,,0.311,0.157,1.04,3,true
Theo Wease Jr.,12860,WR,MIA,6,79.4,-38.6,5,false,127,271,335.0,137.8,-133.2,blend,,12.0,false,,,,0.358,,,0,true
Jayden Daniels,11566,QB,WAS,7,197.0,-40.2,5,false,28,272,49.78,73.1,-198.9,blend,,12.0,false,,,,0.0,0.0,0.0,3,true
Ty Johnson,6039,RB,BUF,7,81.1,-40.2,6,false,79,273,255.07,162.3,-110.7,blend,compromised,12.7,false,James Cook III,15.666666666666666,,0.088,0.177,1.41,12,true
Isaac TeSlaa,12535,WR,DET,6,77.8,-40.2,5,false,128,274,208.59,176.5,-97.5,blend,,13.0,false,,,,0.17,0.104,0.92,3,true
Tyler Allgeier,8132,RB,ARI,14,81.0,-40.3,6,false,80,275,139.38,157.9,-117.1,override,,16.0,false,Jeremiyah Love,16.0,compromised,0.043,0.086,0.52,19,true
Brian Robinson Jr.,8154,RB,ATL,11,80.5,-40.9,6,false,81,276,170.02,161.8,-114.2,blend,,14.0,false,Bijan Robinson,16.0,,0.033,0.107,0.22,5,true
Sterling Shepard,3200,WR,TB,,76.8,-41.3,5,false,131,277,,,,no_market,,12.0,false,,,,0.284,0.177,1.24,3,true
Christian Kirk,4950,WR,SFO,8,76.6,-41.4,5,false,132,278,251.51,173.6,-104.4,blend,compromised,12.0,false,,,,0.299,0.2,0.92,5,true
Isaiah Williams,11608,WR,NYJ,,75.6,-42.4,5,true,137,279,,,,no_market,,12.0,false,,,,0.277,0.18,0.97,0,true
Greg Dulcich,8172,TE,MIA,6,86.7,-43.1,2,true,40,280,200.16,176.4,-103.6,blend,,12.0,false,,,,0.296,0.238,2.42,4,true
Tank Bigsby,9225,RB,PHI,10,77.8,-43.5,6,false,88,281,168.33,161.8,-119.2,blend,,12.0,false,Saquon Barkley,14.333333333333334,,0.023,0.05,0.4,9,true
Keaton Mitchell,9511,RB,LAC,7,74.4,-46.9,6,false,99,282,155.54,164.8,-117.2,blend,,12.0,false,Omarion Hampton,12.0,,0.057,0.173,0.91,2,true
Daniel Jones,5870,QB,IND,13,189.8,-47.4,5,false,30,283,159.26,159.1,-123.9,blend,,12.0,false,,,,0.0,0.0,0.0,10,true
Emari Demercado,11199,RB,KCC,5,71.4,-49.9,6,false,107,284,288.75,142.8,-141.2,blend,,12.0,false,Kenneth Walker III,13.333333333333334,,0.074,0.147,0.74,7,true
Jacoby Brissett,3257,QB,ARI,14,187.2,-50.0,5,false,31,285,195.56,166.9,-118.1,blend,,12.0,false,,,,0.0,0.0,0.0,5,true
Tyler Shough,12545,QB,NOS,8,184.5,-52.7,5,false,32,286,122.47,134.4,-151.6,blend,,12.0,false,,,,0.0,0.0,0.0,11,true
Jaydon Blue,12457,RB,DAL,14,67.0,-54.3,6,true,109,287,223.65,166.6,-120.4,blend,,12.0,false,Javonte Williams,15.333333333333334,,0.007,,,2,true
Kyler Murray,5849,QB,MIN,6,180.7,-56.5,5,true,33,288,113.28,134.0,-154.0,blend,,12.0,false,,,,0.0,0.0,0.0,2,true
Terrance Ferguson,12487,TE,LAR,11,69.7,-60.0,3,true,55,289,235.18,174.1,-114.9,blend,,12.0,false,,,,0.179,0.119,1.1,3,true
Malik Willis,8161,QB,MIA,6,167.4,-69.7,6,false,36,290,130.22,161.9,-128.1,blend,,12.0,false,,,,0.0,0.0,0.0,3,true
Carson Wentz,3161,QB,MIN,,166.0,-71.2,6,true,38,291,,,,no_market,,12.0,false,,,,0.0,0.0,0.0,1,true
Davis Allen,10214,TE,LA,,50.3,-79.5,4,false,73,292,,,,no_market,,12.0,false,,,,0.114,0.095,0.6,4,true
Spencer Rattler,11562,QB,NO,,154.3,-82.9,7,false,42,293,,,,no_market,,12.0,false,,,,0.016,0.006,0.0,2,true
Davis Mills,7585,QB,HOU,,144.6,-92.6,8,false,48,294,,,,no_market,,12.0,false,,,,0.0,0.0,0.0,2,true
Dillon Gabriel,12486,QB,CLE,,135.1,-102.1,9,false,51,295,,,,no_market,,12.0,false,,,,0.0,0.0,0.0,0,true
