player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank
Michael Wilson,10232,WR,ARI,14,135.9,-28.0,-36.28235294117647,9,false,44,151,88.37,101.5,-49.5,fantasypros_sheet,,14.3,false,,,,0.507,0.196,1.56,5,true,false,,0.0,2026-09-01,1,0.0,135.9,135.9,8.7,false,,Marvin Harrison Jr.,0.32,low,86.0
Jonathon Brooks,11583,RB,CAR,5,144.1,-28.1,-28.11294117647057,5,false,32,152,90.84,93.1,-58.9,fantasypros_sheet,,16.0,true,Chuba Hubbard,14.666666666666666,compromised,,,,,,true,contingent volume,0.0,2026-09-01,1,0.0,144.1,144.1,23.1,false,,Chuba Hubbard,0.64,moderate,75.0
Malik Willis,8161,QB,MIA,6,255.6,-28.2,-28.15623529411758,2,false,22,153,130.02,124.9,-28.1,fantasypros_sheet,,12.0,false,,,,0.0,0.0,0.0,3,true,false,,0.0,2026-09-01,1,0.0,255.6,255.6,39.8,false,,,,"",132.0
Tyler Bass,7042,K,BUF,7,108.0,-28.5,-28.5,4,false,29,154,278.56,133.7,-20.3,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",2529.0
Quentin Johnston,9754,WR,LAC,7,134.6,-29.3,-37.58117647058825,9,false,45,155,95.75,111.0,-44.0,fantasypros_sheet,,14.0,false,,,,0.496,0.184,1.61,7,true,false,,0.0,2026-09-01,1,0.0,134.6,134.6,13.4,false,,Ladd McConkey,0.32,low,91.0
Chris Godwin Jr.,4037,WR,TBB,10,133.5,-30.4,-38.654117647058825,9,false,46,156,76.5,96.7,-59.3,fantasypros_sheet,,12.0,false,,,,0.379,0.197,1.39,6,true,false,,0.0,2026-09-01,1,0.0,133.5,133.5,12.2,false,,Emeka Egbuka,0.32,low,83.0
Jordan Addison,9756,WR,MIN,6,133.3,-30.6,-38.908235294117674,9,false,47,157,105.63,115.7,-41.3,fantasypros_sheet,,14.3,false,,,,0.504,0.181,1.4,5,true,false,,0.0,2026-09-01,1,0.0,133.3,133.3,10.8,false,,Justin Jefferson,0.33,low,95.0
Cade Otton,8111,TE,TBB,10,95.5,-31.9,-76.64,2,false,23,158,239.93,,,fantasypros_sheet,,14.0,false,,,,0.342,0.135,0.95,3,true,false,,0.0,2026-09-01,1,0.0,95.5,95.5,18.7,false,,,,"",262.0
Xavier Worthy,11624,WR,KCC,5,131.9,-32.0,-40.301176470588246,9,false,48,159,129.35,129.0,-30.0,fantasypros_sheet,,14.0,false,,,,0.428,0.172,1.25,2,true,false,,0.0,2026-09-01,1,0.0,131.9,131.9,11.9,false,,Rashee Rice,0.34,low,130.0
Wan'Dale Robinson,8126,WR,TEN,9,131.2,-32.7,-40.96941176470588,9,false,49,160,85.58,130.4,-29.6,fantasypros_sheet,,15.0,false,,,,0.653,0.248,1.79,6,true,false,,0.0,2026-09-01,1,0.0,131.2,131.2,9.0,false,,Carnell Tate,0.3,low,112.0
