sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt
5846,DK Metcalf,WR,35.5,188.4633394646677,183.8248143858155,184.75251940158597,193.817,158.2,15,2023->2024,197.07393207085175,206.74293598752618
4199,Aaron Jones Sr.,RB,42.7,170.25264479272334,179.67042033442692,175.9033101177455,185.50400000000002,216.10000000000002,17,2023->2024,169.5695747688116,178.8245734367241
5927,Terry McLaurin,WR,70.6,153.38861004933267,160.55343913886196,159.1204733209561,160.49699999999999,226.8,17,2023->2024,164.13836863322163,165.5583043508752
10229,Rashee Rice,WR,64.1,160.12022250729544,163.82280973755246,163.08229229150106,213.84300000000002,52.900000000000006,4,2023->2024,168.2251243414813,220.58658091618045
9509,Bijan Robinson,RB,2.0,203.75189311085833,281.81531754362925,231.07409166232816,248.55700000000002,311.2,17,2023->2024,232.04262623731728,249.59881324104205
2216,Mike Evans,WR,29.1,211.50194611358535,190.55388943752905,194.7435007727403,191.726,203.4,14,2023->2024,207.73122643651178,204.5124841739602
11583,Jonathon Brooks,RB,82.7,,157.61267831067047,157.61267831067047,,6.0,3,2023->2024,149.53454322575783,
8205,Isiah Pacheco,RB,21.0,207.52180512924593,203.35176829021006,205.01978302582438,222.66600000000003,50.9,7,2023->2024,205.87911237334575,223.59929251290396
8150,Kyren Williams,RB,14.8,293.55664240095587,215.02749875639506,266.07144212535957,225.86200000000002,255.1,16,2023->2024,267.18666620462244,226.80868837428937
6813,Jonathan Taylor,RB,11.3,201.94675242852878,224.03132932500935,211.88481203194505,228.37800000000001,235.7,14,2023->2024,212.77291577776828,229.33523405240126
6845,Zack Moss,RB,75.3,181.5311164616769,160.74069085613564,169.05686109835216,163.863,70.4,8,2023->2024,160.3921764066046,155.4645166824976
6794,Justin Jefferson,WR,8.3,232.75223151800125,233.0173731803115,232.96434484784945,241.808,265.98,17,2023->2024,245.4676839630915,254.785983505386
4039,Cooper Kupp,WR,22.6,183.25030421429392,199.11062031307014,195.9385570933149,206.04,141.5,12,2023->2024,206.45469949565964,217.09829303186714
7553,Kyle Pitts Sr.,TE,83.3,117.76661900360615,134.54874853477145,123.64036433951401,158.916,107.7,17,2023->2024,125.59350763302811,161.4263914994926
6904,Jalen Hurts,QB,33.9,337.142447101514,321.5390042563455,331.68124210570505,374.0816,320.12,15,2023->2024,352.24303247841794,397.2718997970494
9502,Tank Dell,WR,48.5,185.6607824531946,173.26274921483943,175.7423558625105,182.733,114.5,14,2023->2024,181.28442549845374,188.4955209689183
1479,Keenan Allen,WR,61.9,251.87264014552068,165.00497237523885,182.37850592929524,181.05000000000004,150.4,15,2023->2024,188.12984785821644,186.75944723406647
5872,Deebo Samuel Sr.,WR,18.2,182.13808594531685,206.43997348989842,201.5795959809821,193.749,130.10000000000002,15,2023->2024,212.3984963964504,204.14762753169884
4066,Evan Engram,TE,89.3,151.43854313331656,131.75802749394475,139.63023374969347,144.65300000000002,66.0,9,2023->2024,141.8359685522143,146.93807929708845
5967,Tony Pollard,RB,75.9,202.24922690913746,160.4758544170304,177.18520341387324,155.26100000000002,180.20000000000002,16,2023->2024,168.10391614963612,147.30339566980504
4046,Patrick Mahomes,QB,36.2,292.07943680725464,318.56310732502305,307.9696391179157,364.4664,293.52,16,2023->2024,327.061485013393,387.06062832331594
5045,Courtland Sutton,WR,100.9,163.5796063567239,148.46582620079363,151.48858223197968,141.74599999999998,199.8,16,2023->2024,147.35007009619878,137.87364518252542
9758,C.J. Stroud,QB,44.2,286.25088196651166,309.5115030657545,294.3920993512466,351.53279999999995,232.38,17,2023->2024,312.64223793555055,373.3252405276715
8144,Chris Olave,WR,25.3,185.55947914145023,195.29056370051381,193.3443467887011,197.47199999999998,60.7,8,2023->2024,206.23876085011375,210.64169322262117
8154,Brian Robinson,RB,90.2,170.34245297731692,154.71590249325385,164.87316030789484,150.433,149.8,14,2023->2024,156.4229031641238,142.7228455361989
11643,Jaylen Wright,RB,159.6,,135.67405100121235,135.67405100121235,,25.200000000000003,13,2023->2024,135.67405100121235,
11624,Xavier Worthy,WR,78.8,,156.83397065507964,156.83397065507964,162.57100000000003,157.7,16,2023->2024,152.54942800971494,158.12972761819273
