season,week,game_id,team,player_id,pos
2025,2,2025_02_BUF_NYJ,BUF,00-0037248,RB
2025,2,2025_02_BUF_NYJ,BUF,00-0037261,WR
2025,2,2025_02_BUF_NYJ,BUF,00-0038679,WR
2025,2,2025_02_BUF_NYJ,BUF,00-0038933,TE
2025,2,2025_02_BUF_NYJ,BUF,00-0039875,RB
2025,2,2025_02_BUF_NYJ,BUF,00-0039901,WR
2025,2,2025_02_BUF_NYJ,BUF,00-0040194,TE
2025,2,2025_02_BUF_NYJ,NYJ,00-0028118,QB
2025,2,2025_02_BUF_NYJ,NYJ,00-0034521,WR
2025,2,2025_02_BUF_NYJ,NYJ,00-0034959,RB
2025,2,2025_02_BUF_NYJ,NYJ,00-0036427,WR
2025,2,2025_02_BUF_NYJ,NYJ,00-0036945,QB
2025,2,2025_02_BUF_NYJ,NYJ,00-0037740,WR
2025,2,2025_02_BUF_NYJ,NYJ,00-0037805,TE
2025,2,2025_02_BUF_NYJ,NYJ,00-0038120,RB
2025,2,2025_02_BUF_NYJ,NYJ,00-0039794,RB
2025,2,2025_02_BUF_NYJ,NYJ,00-0039798,RB
2025,2,2025_02_BUF_NYJ,NYJ,00-0040582,WR
2025,2,2025_02_BUF_NYJ,NYJ,00-0040736,TE
2025,2,2025_02_CAR_ARI,ARI,00-0033119,QB
2025,2,2025_02_CAR_ARI,ARI,00-0033553,RB
2025,2,2025_02_CAR_ARI,ARI,00-0033891,WR
2025,2,2025_02_CAR_ARI,ARI,00-0035228,QB
2025,2,2025_02_CAR_ARI,ARI,00-0035500,WR
2025,2,2025_02_CAR_ARI,ARI,00-0037744,TE
2025,2,2025_02_CAR_ARI,ARI,00-0038456,TE
2025,2,2025_02_CAR_ARI,ARI,00-0038559,WR
2025,2,2025_02_CAR_ARI,ARI,00-0038705,RB
2025,2,2025_02_CAR_ARI,ARI,00-0039041,TE
2025,2,2025_02_CAR_ARI,ARI,00-0039849,WR
2025,2,2025_02_CAR_ARI,ARI,00-0039921,RB
2025,2,2025_02_CAR_ARI,CAR,00-0033589,WR
2025,2,2025_02_CAR_ARI,CAR,00-0034983,WR
2025,2,2025_02_CAR_ARI,CAR,00-0036139,RB
2025,2,2025_02_CAR_ARI,CAR,00-0036555,RB
2025,2,2025_02_CAR_ARI,CAR,00-0037005,TE
2025,2,2025_02_CAR_ARI,CAR,00-0038840,WR
2025,2,2025_02_CAR_ARI,CAR,00-0039150,QB
2025,2,2025_02_CAR_ARI,CAR,00-0039342,WR
2025,2,2025_02_CAR_ARI,CAR,00-0039356,TE
2025,2,2025_02_CAR_ARI,CAR,00-0040124,WR
2025,2,2025_02_CAR_ARI,CAR,00-0040187,TE
2025,2,2025_02_CAR_ARI,CAR,00-0040644,RB
2025,2,2025_02_CHI_DET,CHI,00-0034798,TE
2025,2,2025_02_CHI_DET,CHI,00-0034827,WR
2025,2,2025_02_CHI_DET,CHI,00-0035208,WR
2025,2,2025_02_CHI_DET,CHI,00-0036275,RB
2025,2,2025_02_CHI_DET,CHI,00-0036290,TE
2025,2,2025_02_CHI_DET,CHI,00-0038416,QB
2025,2,2025_02_CHI_DET,CHI,00-0039918,QB
2025,2,2025_02_CHI_DET,CHI,00-0039919,WR
2025,2,2025_02_CHI_DET,CHI,00-0040126,TE
2025,2,2025_02_CHI_DET,CHI,00-0040236,RB
