team,posgrp,metric,n,value,league,var_play,k_eb,between_var
MIN,RB,catch_rate,69,0.7681159420289855,0.7795584045584045,,269.6993396752406,0.0010484917179406582
MIN,TE,ypt,87,6.988505747126437,7.402552926525529,59.89521518310611,477.88573528846166,0.002517228048063173
MIN,TE,catch_rate,87,0.735632183908046,0.7238480697384807,,3197.323600121806,0.00011932022655747202
MIN,WR,ypt,235,8.004255319148935,7.8248111244935945,125.52562284051653,512.9979346061339,0.003362458988259805
MIN,WR,catch_rate,235,0.6,0.6188547027263769,,592.4406304935924,0.0010395778909722611
NE,ALL,ypt,505,6.920792079207921,7.319899395173364,67.52942794279427,423.2498391543696,0.00391817122363068
NE,ALL,catch_rate,505,0.693069306930693,0.6717168692736092,,320.9784577564491,0.0015226021030540439
NE,OTHER,ypt,52,6.673076923076923,7.014322916666667,47.20475113122173,71.82482665639307,0.021704806539040153
NE,OTHER,catch_rate,52,0.6730769230769231,0.6796875,,111.42454609768586,0.004229448396432637
NE,RB,ypt,97,5.061855670103093,5.776709401709402,37.57946735395189,155.33379421101966,0.01217468644255527
NE,RB,catch_rate,97,0.8350515463917526,0.7795584045584045,,269.6993396752406,0.0010484917179406582
NE,TE,ypt,113,7.185840707964601,7.402552926525529,58.81336915297093,477.88573528846166,0.002517228048063173
NE,TE,catch_rate,113,0.6991150442477876,0.7238480697384807,,3197.323600121806,0.00011932022655747202
NE,WR,ypt,242,7.62396694214876,7.8248111244935945,86.79992112753341,512.9979346061339,0.003362458988259805
NE,WR,catch_rate,242,0.640495867768595,0.6188547027263769,,592.4406304935924,0.0010395778909722611
NO,ALL,ypt,462,7.220779220779221,7.319899395173364,86.93162802490352,423.2498391543696,0.00391817122363068
NO,ALL,catch_rate,462,0.6753246753246753,0.6717168692736092,,320.9784577564491,0.0015226021030540439
NO,OTHER,ypt,44,8.068181818181818,7.014322916666667,69.18128964059197,71.82482665639307,0.021704806539040153
NO,OTHER,catch_rate,44,0.75,0.6796875,,111.42454609768586,0.004229448396432637
NO,RB,ypt,67,5.686567164179104,5.776709401709402,49.18815015829941,155.33379421101966,0.01217468644255527
NO,RB,catch_rate,67,0.8059701492537313,0.7795584045584045,,269.6993396752406,0.0010484917179406582
NO,TE,ypt,93,6.602150537634409,7.402552926525529,66.58999532491819,477.88573528846166,0.002517228048063173
NO,TE,catch_rate,93,0.7096774193548387,0.7238480697384807,,3197.323600121806,0.00011932022655747202
NO,WR,ypt,258,7.6976744186046515,7.8248111244935945,106.78762102977103,512.9979346061339,0.003362458988259805
NO,WR,catch_rate,258,0.6162790697674418,0.6188547027263769,,592.4406304935924,0.0010395778909722611
NYG,ALL,ypt,531,7.3596986817325805,7.319899395173364,86.99301424865864,423.2498391543696,0.00391817122363068
NYG,ALL,catch_rate,531,0.6741996233521658,0.6717168692736092,,320.9784577564491,0.0015226021030540439
NYG,OTHER,ypt,44,6.181818181818182,7.014322916666667,60.338266384778,71.82482665639307,0.021704806539040153
NYG,OTHER,catch_rate,44,0.6136363636363636,0.6796875,,111.42454609768586,0.004229448396432637
NYG,RB,ypt,92,5.478260869565218,5.776709401709402,48.494027711418994,155.33379421101966,0.01217468644255527
NYG,RB,catch_rate,92,0.8152173913043478,0.7795584045584045,,269.6993396752406,0.0010484917179406582
NYG,TE,ypt,92,7.619565217391305,7.402552926525529,72.15038222646919,477.88573528846166,0.002517228048063173
NYG,TE,catch_rate,92,0.75,0.7238480697384807,,3197.323600121806,0.00011932022655747202
NYG,WR,ypt,302,8.049668874172186,7.8248111244935945,106.12044839497482,512.9979346061339,0.003362458988259805
